batch_id,plant,country,product,production_date,units_produced,units_rejected,production_time_hrs,delay_days,production_cost,quality_issue,reject_rate,cost_per_unit,quality_flag,critical_quality,critical_delay_prod,batch_risk_score
BCH000000,Plant_F,France,Paracetamol 500mg,2023-11-27,79087,19548,9.3,0,486716.37,Contamination,0.24717083717930885,6.154189310506151,1,1,0,3
BCH000001,Plant_F,France,Ibuprofen 400mg,2023-12-20,136725,21811,12.7,7,1021781.9,Equipment failure,0.15952459316145548,7.473263119400256,1,1,1,5
BCH000002,Plant_E,Brazil,Insulin Glargine,2023-07-23,152301,9207,21.5,0,180452.7,,0.06045265625307779,1.1848425158075129,0,1,0,2
BCH000003,Plant_C,Germany,Losartan 50mg,2023-08-24,118641,19986,19.3,3,740244.37,Process deviation,0.16845778440842543,6.239363879266021,1,1,1,5
BCH000004,Plant_D,India,Amoxicillin 500mg,2023-11-23,213723,10655,29.2,0,303828.36,,0.049854250595396846,1.4215987984447158,0,0,0,0
BCH000005,Plant_C,Germany,Atorvastatin 20mg,2023-11-23,182163,15783,18.9,0,1109003.71,Temperature deviation,0.08664218309975132,6.087974561244599,1,1,0,3
BCH000006,Plant_E,Brazil,Insulin Lispro,2023-10-22,37924,6362,29.3,1,43481.67,Temperature deviation,0.16775656576310516,1.1465475688218543,1,1,0,3
BCH000007,Plant_F,France,Insulin Glargine,2023-09-20,48303,7691,15.2,0,286832.55,Temperature deviation,0.15922406475788253,5.938193279920502,1,1,0,3
BCH000008,Plant_D,India,Metformin 850mg,2023-10-17,240729,5564,11.1,0,307018.69,,0.023113127209434675,1.275370603458661,0,0,0,0
BCH000009,Plant_E,Brazil,Metformin 850mg,2023-09-20,124155,11926,10.5,0,150109.31,Contamination,0.0960573476702509,1.2090476420603278,1,1,0,3
BCH000010,Plant_A,Mexico,Insulin Lispro,2023-08-18,224082,18061,24.1,0,268240.94,Equipment failure,0.080599958943601,1.197065984773431,1,1,0,3
BCH000011,Plant_F,France,Atorvastatin 20mg,2023-10-10,39834,10358,20.3,2,292123.87,Equipment failure,0.26002912085153385,7.333530903248481,1,1,0,3
BCH000012,Plant_E,Brazil,Omeprazole 20mg,2023-10-30,45020,2509,8.7,0,50370.22,,0.05573078631719236,1.118840959573523,0,1,0,2
BCH000013,Plant_E,Brazil,Omeprazole 20mg,2023-09-22,64093,1083,24.6,0,78689.4,,0.016897321080305183,1.2277378184825174,0,0,0,0
BCH000014,Plant_F,France,Insulin Glargine,2023-08-15,81795,9398,25.7,1,617498.93,Equipment failure,0.11489699859404609,7.549348126413595,1,1,0,3
BCH000015,Plant_F,France,Aspirin 100mg,2023-08-22,184142,61955,17.4,0,1159076.95,Temperature deviation,0.33645230311390123,6.294473558449457,1,1,0,3
BCH000016,Plant_C,Germany,Insulin Glargine,2023-07-25,225620,44707,10.6,0,1417595.33,Process deviation,0.19815175959578052,6.2831102295895755,1,1,0,3
BCH000017,Plant_E,Brazil,Atorvastatin 20mg,2023-07-03,100056,10929,29.4,2,121158.48,Equipment failure,0.10922883185416167,1.2109066922523386,1,1,0,3
BCH000018,Plant_E,Brazil,Insulin Glargine,2023-10-30,212955,2307,9.1,1,268528.68,,0.01083327463548637,1.2609644291047404,0,0,0,0
BCH000019,Plant_E,Brazil,Paracetamol 500mg,2023-09-03,244478,27633,13.3,0,350785.39,Contamination,0.11302857516831781,1.4348341773083877,1,1,0,3
BCH000020,Plant_B,USA,Insulin Glargine,2023-08-23,52059,7028,21.9,0,68073.92,Temperature deviation,0.13500067231410515,1.3076301888242186,1,1,0,3
BCH000021,Plant_E,Brazil,Ibuprofen 400mg,2023-09-30,226584,8382,21.0,0,248036.76,,0.03699290329414257,1.0946790594216715,0,0,0,0
BCH000022,Plant_F,France,Omeprazole 20mg,2023-10-13,177617,7766,28.6,2,1173006.46,,0.043723292252430795,6.604133951142064,0,0,0,0
BCH000023,Plant_D,India,Paracetamol 500mg,2023-12-09,227641,16058,22.5,4,266990.79,Contamination,0.07054089553287853,1.1728589753163972,1,1,1,5
BCH000024,Plant_E,Brazil,Insulin Glargine,2023-07-02,118766,8380,27.8,0,166628.42,Process deviation,0.0705589141673543,1.402997659262752,1,1,0,3
BCH000025,Plant_E,Brazil,Ibuprofen 400mg,2023-12-08,195650,3127,25.2,5,273783.05,,0.015982622029133656,1.3993511372348582,0,0,1,2
BCH000026,Plant_E,Brazil,Ibuprofen 400mg,2023-11-08,214625,9258,10.2,1,232505.61,,0.043135701805474665,1.0833109376820034,0,0,0,0
BCH000027,Plant_B,USA,Aspirin 100mg,2023-12-02,221357,25293,13.2,0,295818.07,Temperature deviation,0.11426338448750209,1.3363845281603925,1,1,0,3
BCH000028,Plant_C,Germany,Ibuprofen 400mg,2023-11-16,58352,23014,10.1,2,406024.99,Process deviation,0.3943995064436523,6.958201775431862,1,1,0,3
BCH000029,Plant_F,France,Insulin Glargine,2023-11-18,220713,16089,21.9,0,1675099.28,Process deviation,0.07289557026545786,7.589490786677722,1,1,0,3
BCH000030,Plant_B,USA,Aspirin 100mg,2023-09-20,248456,14662,14.2,0,332951.6,,0.05901246095888205,1.340082751070612,0,1,0,2
BCH000031,Plant_A,Mexico,Atorvastatin 20mg,2023-12-12,212649,17611,16.1,6,299697.12,Contamination,0.08281722462837822,1.409351184346035,1,1,1,5
BCH000032,Plant_F,France,Atorvastatin 20mg,2023-08-10,239883,57523,26.7,0,1583453.43,Process deviation,0.23979606724945077,6.600940583534473,1,1,0,3
BCH000033,Plant_E,Brazil,Metformin 850mg,2023-07-31,234805,9465,10.1,2,301776.56,,0.0403100445050148,1.285222035305892,0,0,0,0
BCH000034,Plant_F,France,Losartan 50mg,2023-07-06,127071,33253,15.9,2,917432.79,Temperature deviation,0.2616883474592944,7.219843945510778,1,1,0,3
BCH000035,Plant_E,Brazil,Amoxicillin 500mg,2023-07-28,199518,30853,19.0,5,252207.36,Temperature deviation,0.15463767680109064,1.2640832406098697,1,1,1,5
BCH000036,Plant_D,India,Omeprazole 20mg,2023-12-02,72198,6571,16.3,5,86758.77,Temperature deviation,0.09101360148480567,1.2016783013379873,1,1,1,5
BCH000037,Plant_D,India,Paracetamol 500mg,2023-11-11,86941,9124,21.0,1,102864.67,Equipment failure,0.1049447326347753,1.1831548981493196,1,1,0,3
BCH000038,Plant_E,Brazil,Amoxicillin 500mg,2023-08-21,37868,1641,21.7,3,43839.62,,0.04333474173444597,1.157695679729587,0,0,1,2
BCH000039,Plant_B,USA,Insulin Lispro,2023-12-05,243578,47569,15.1,7,308337.63,Equipment failure,0.19529267832070218,1.2658681408008934,1,1,1,5
BCH000040,Plant_E,Brazil,Aspirin 100mg,2023-08-07,226220,8720,26.4,0,322714.92,,0.03854654760852268,1.426553443550526,0,0,0,0
BCH000041,Plant_A,Mexico,Losartan 50mg,2023-07-21,57336,1700,23.7,0,73259.45,,0.029649783730989258,1.2777216757360121,0,0,0,0
BCH000042,Plant_F,France,Paracetamol 500mg,2023-07-31,163697,7601,17.2,1,1152894.31,,0.04643334941996494,7.042855458560633,0,0,0,0
BCH000043,Plant_D,India,Paracetamol 500mg,2023-10-14,54913,3171,8.9,0,60215.45,,0.05774588895161437,1.0965609236428533,0,1,0,2
BCH000044,Plant_B,USA,Insulin Lispro,2023-08-11,243369,21927,11.8,0,304320.73,Temperature deviation,0.09009775279513825,1.250449851871027,1,1,0,3
BCH000045,Plant_F,France,Ibuprofen 400mg,2023-07-31,144647,5737,21.8,0,951848.8,,0.039662073876402554,6.58049458336502,0,0,0,0
BCH000046,Plant_F,France,Omeprazole 20mg,2023-07-10,71492,23062,8.6,0,507787.49,Process deviation,0.32258154758574387,7.102717646729704,1,1,0,3
BCH000047,Plant_F,France,Aspirin 100mg,2023-08-31,163237,40531,20.0,1,1100803.91,Temperature deviation,0.24829542321900058,6.743593119207042,1,1,0,3
